1782877585.859617 server started (7833): version 3.7, socket /tmp/tmux-1000/default, protocol 8
1782877585.859720 on Linux 7.0.14-arch1-1 #1 SMP PREEMPT_DYNAMIC Sat, 27 Jun 2026 16:15:10 +0000
1782877585.859783 using libevent 2.1.12-stable poll
1782877585.859812 using ncurses 6.6 20251230
1782877585.910249 cmd_parse_build_commands 0:3 0:3: -yW
1782877585.910254 cmd_parse_build_commands 0:3 0:4: -T
1782877585.910259 cmd_parse_build_commands 0:3 0:5: #[align=centre]#{session_name}
1782877585.910263 cmd_parse_build_commands 0:3 0:6: Next
1782877585.910268 cmd_parse_build_commands 0:3 0:7: n
1782877585.910273 cmd_parse_build_commands 0:3 0:8 0:0: switch-client
1782877585.910277 cmd_parse_build_commands 0:3 0:8 0:1: -n
1782877585.910282 cmd_parse_build_commands 0:3 0:9: Previous
1782877585.910287 cmd_parse_build_commands 0:3 0:10: p
1782877585.910292 cmd_parse_build_commands 0:3 0:11 0:0: switch-client
1782877585.910296 cmd_parse_build_commands 0:3 0:11 0:1: -p
1782877585.910301 cmd_parse_build_commands 0:3 0:12: 
1782877585.910306 cmd_parse_build_commands 0:3 0:13: Renumber
1782877585.910310 cmd_parse_build_commands 0:3 0:14: N
1782877585.910315 cmd_parse_build_commands 0:3 0:15 0:0: move-window
1782877585.910319 cmd_parse_build_commands 0:3 0:15 0:1: -r
1782877585.910324 cmd_parse_build_commands 0:3 0:16: Rename
1782877585.910328 cmd_parse_build_commands 0:3 0:17: r
1782877585.910333 cmd_parse_build_commands 0:3 0:18 0:0: command-prompt
1782877585.910338 cmd_parse_build_commands 0:3 0:18 0:1: -I
1782877585.910342 cmd_parse_build_commands 0:3 0:18 0:2: #S
1782877585.910347 cmd_parse_build_commands 0:3 0:18 0:3 0:0: rename-session
1782877585.910352 cmd_parse_build_commands 0:3 0:18 0:3 0:1: --
1782877585.910356 cmd_parse_build_commands 0:3 0:18 0:3 0:2: %%
1782877585.910361 cmd_parse_build_commands 0:3 0:19: Detach
1782877585.910366 cmd_parse_build_commands 0:3 0:20: d
1782877585.910371 cmd_parse_build_commands 0:3 0:21 0:0: detach-client
1782877585.910375 cmd_parse_build_commands 0:3 0:22: 
1782877585.910380 cmd_parse_build_commands 0:3 0:23: New Session
1782877585.910384 cmd_parse_build_commands 0:3 0:24: s
1782877585.910389 cmd_parse_build_commands 0:3 0:25 0:0: new-session
1782877585.910394 cmd_parse_build_commands 0:3 0:26: New Window
1782877585.910398 cmd_parse_build_commands 0:3 0:27: w
1782877585.910403 cmd_parse_build_commands 0:3 0:28 0:0: new-window
1782877585.910409 cmd_parse_build_commands 0:0: display-menu
1782877585.910414 cmd_parse_build_commands 0:1: -t=
1782877585.910418 cmd_parse_build_commands 0:2: -xM
1782877585.910423 cmd_parse_build_commands 0:3: -yW
1782877585.910427 cmd_parse_build_commands 0:4: -T
1782877585.910438 cmd_parse_build_commands 0:5: #[align=centre]#{session_name}
1782877585.910445 cmd_parse_build_commands 0:6: Next
1782877585.910450 cmd_parse_build_commands 0:7: n
1782877585.910454 cmd_parse_build_commands 0:8 0:0: switch-client
1782877585.910459 cmd_parse_build_commands 0:8 0:1: -n
1782877585.910464 cmd_parse_build_commands 0:9: Previous
1782877585.910468 cmd_parse_build_commands 0:10: p
1782877585.910473 cmd_parse_build_commands 0:11 0:0: switch-client
1782877585.910478 cmd_parse_build_commands 0:11 0:1: -p
1782877585.910482 cmd_parse_build_commands 0:12: 
1782877585.910487 cmd_parse_build_commands 0:13: Renumber
1782877585.910491 cmd_parse_build_commands 0:14: N
1782877585.910496 cmd_parse_build_commands 0:15 0:0: move-window
1782877585.910501 cmd_parse_build_commands 0:15 0:1: -r
1782877585.910505 cmd_parse_build_commands 0:16: Rename
1782877585.910510 cmd_parse_build_commands 0:17: r
1782877585.910515 cmd_parse_build_commands 0:18 0:0: command-prompt
1782877585.910519 cmd_parse_build_commands 0:18 0:1: -I
1782877585.910524 cmd_parse_build_commands 0:18 0:2: #S
1782877585.910529 cmd_parse_build_commands 0:18 0:3 0:0: rename-session
1782877585.910533 cmd_parse_build_commands 0:18 0:3 0:1: --
1782877585.910538 cmd_parse_build_commands 0:18 0:3 0:2: %%
1782877585.910542 cmd_parse_build_commands 0:19: Detach
1782877585.910547 cmd_parse_build_commands 0:20: d
1782877585.910552 cmd_parse_build_commands 0:21 0:0: detach-client
1782877585.910556 cmd_parse_build_commands 0:22: 
1782877585.910561 cmd_parse_build_commands 0:23: New Session
1782877585.910565 cmd_parse_build_commands 0:24: s
1782877585.910570 cmd_parse_build_commands 0:25 0:0: new-session
1782877585.910575 cmd_parse_build_commands 0:26: New Window
1782877585.910579 cmd_parse_build_commands 0:27: w
1782877585.910584 cmd_parse_build_commands 0:28 0:0: new-window
1782877585.910590 cmd_parse_build_commands 0:0: switch-client
1782877585.910594 cmd_parse_build_commands 0:1: -n
1782877585.910601 args_parse_flags: next -n
1782877585.910606 args_parse_flags: -n
1782877585.910610 args_parse: flags end at 2 of 2
1782877585.910616 cmd_parse_build_commands: switch-client -n
1782877585.910624 cmd_parse_build_commands 0:0: switch-client
1782877585.910629 cmd_parse_build_commands 0:1: -p
1782877585.910635 args_parse_flags: next -p
1782877585.910640 args_parse_flags: -p
1782877585.910644 args_parse: flags end at 2 of 2
1782877585.910650 cmd_parse_build_commands: switch-client -p
1782877585.910655 cmd_parse_build_commands 0:0: move-window
1782877585.910660 cmd_parse_build_commands 0:1: -r
1782877585.910665 args_parse_flags: next -r
1782877585.910670 args_parse_flags: -r
1782877585.910674 args_parse: flags end at 2 of 2
1782877585.910680 cmd_parse_build_commands: move-window -r
1782877585.910685 cmd_parse_build_commands 0:0: command-prompt
1782877585.910690 cmd_parse_build_commands 0:1: -I
1782877585.910694 cmd_parse_build_commands 0:2: #S
1782877585.910699 cmd_parse_build_commands 0:3 0:0: rename-session
1782877585.910703 cmd_parse_build_commands 0:3 0:1: --
1782877585.910708 cmd_parse_build_commands 0:3 0:2: %%
1782877585.910713 cmd_parse_build_commands 0:0: rename-session
1782877585.910718 cmd_parse_build_commands 0:1: --
1782877585.910723 cmd_parse_build_commands 0:2: %%
1782877585.910729 args_parse_flags: next --
1782877585.910733 args_parse: flags end at 2 of 3
1782877585.910738 args_parse: 2 = %% (type STRING)
1782877585.910744 cmd_parse_build_commands: rename-session "%%"
1782877585.910752 args_parse_flags: next -I
1782877585.910757 args_parse_flag_argument: -I = #S
1782877585.910761 args_parse: flags end at 3 of 4
1782877585.910767 args_parse: 3 = rename-session "%%" (type COMMANDS)
1782877585.910775 cmd_parse_build_commands: command-prompt -I "#S" { rename-session "%%" }
1782877585.910785 cmd_parse_build_commands 0:0: detach-client
1782877585.910791 args_parse: flags end at 1 of 1
1782877585.910797 cmd_parse_build_commands: detach-client
1782877585.910802 cmd_parse_build_commands 0:0: new-session
1782877585.910808 args_parse: flags end at 1 of 1
1782877585.910816 cmd_parse_build_commands: new-session
1782877585.910827 cmd_parse_build_commands 0:0: new-window
1782877585.910836 args_parse: flags end at 1 of 1
1782877585.910841 cmd_parse_build_commands: new-window
1782877585.910847 args_parse_flags: next -t=
1782877585.910852 args_parse_flag_argument: -t = =
1782877585.910856 args_parse_flags: next -xM
1782877585.910861 args_parse_flag_argument: -x = M
1782877585.910865 args_parse_flags: next -yW
1782877585.910870 args_parse_flag_argument: -y = W
1782877585.910875 args_parse_flags: next -T
1782877585.910879 args_parse_flag_argument: -T = #[align=centre]#{session_name}
1782877585.910884 args_parse_flags: next Next
1782877585.910889 args_parse: flags end at 6 of 29
1782877585.910894 args_parse: 6 = Next (type STRING)
1782877585.910899 args_parse: 7 = n (type STRING)
1782877585.910905 args_parse: 8 = switch-client -n (type COMMANDS)
1782877585.910911 args_parse: 9 = Previous (type STRING)
1782877585.910916 args_parse: 10 = p (type STRING)
1782877585.910924 args_parse: 11 = switch-client -p (type COMMANDS)
1782877585.910929 args_parse: 12 =  (type STRING)
1782877585.910934 args_parse: 13 = Renumber (type STRING)
1782877585.910939 args_parse: 14 = N (type STRING)
1782877585.910944 args_parse: 15 = move-window -r (type COMMANDS)
1782877585.910949 args_parse: 16 = Rename (type STRING)
1782877585.910954 args_parse: 17 = r (type STRING)
1782877585.910962 args_parse: 18 = command-prompt -I "#S" { rename-session "%%" } (type COMMANDS)
1782877585.910974 args_parse: 19 = Detach (type STRING)
1782877585.910979 args_parse: 20 = d (type STRING)
1782877585.910984 args_parse: 21 = detach-client (type COMMANDS)
1782877585.910989 args_parse: 22 =  (type STRING)
1782877585.910994 args_parse: 23 = New Session (type STRING)
1782877585.910999 args_parse: 24 = s (type STRING)
1782877585.911004 args_parse: 25 = new-session (type COMMANDS)
1782877585.911009 args_parse: 26 = New Window (type STRING)
1782877585.911014 args_parse: 27 = w (type STRING)
1782877585.911019 args_parse: 28 = new-window (type COMMANDS)
1782877585.911045 cmd_parse_build_commands: display-menu -T "#[align=centre]#{session_name}" -t = -x M -y W Next n { switch-client -n } Previous p { switch-client -p } '' Renumber N { move-window -r } Rename r { command-prompt -I "#S" { rename-session "%%" } } Detach d { detach-client } '' "New Session" s { new-session } "New Window" w { new-window }
1782877585.911051 args_parse_flags: next -n
1782877585.911056 args_parse_flags: -n
1782877585.911061 args_parse_flags: next MouseDown3StatusLeft
1782877585.911066 args_parse: flags end at 2 of 4
1782877585.911071 args_parse: 2 = MouseDown3StatusLeft (type STRING)
1782877585.911092 args_parse: 3 = display-menu -T "#[align=centre]#{session_name}" -t = -x M -y W Next n { switch-client -n } Previous p { switch-client -p } '' Renumber N { move-window -r } Rename r { command-prompt -I "#S" { rename-session "%%" } } Detach d { detach-client } '' "New Session" s { new-session } "New Window" w { new-window } (type COMMANDS)
1782877585.911119 cmd_parse_build_commands: bind-key -n MouseDown3StatusLeft { display-menu -T "#[align=centre]#{session_name}" -t = -x M -y W Next n { switch-client -n } Previous p { switch-client -p } '' Renumber N { move-window -r } Rename r { command-prompt -I "#S" { rename-session "%%" } } Detach d { detach-client } '' "New Session" s { new-session } "New Window" w { new-window } }
1782877585.911129 cmdq_get_command: [bind-key/0x55c04b367840] group 1027
1782877585.911135 cmdq_append <global>: [bind-key/0x55c04b367840]
1782877585.911140 yylex_token: end at WS
1782877585.911144 yylex_token: bind
1782877585.911149 yylex_token: end at WS
1782877585.911153 yylex_token: -n
1782877585.911158 yylex_token: end at WS
1782877585.911163 yylex_token: M-MouseDown3StatusLeft
1782877585.911168 yylex_token: end at WS
1782877585.911172 yylex_token: display-menu
1782877585.911177 yylex_token: end at WS
1782877585.911181 yylex_token: -t=
1782877585.911186 yylex_token: end at WS
1782877585.911190 yylex_token: -xM
1782877585.911194 yylex_token: end at WS
1782877585.911203 yylex_token: -yW
1782877585.911210 yylex_token: end at WS
1782877585.911215 yylex_token: -T
1782877585.911220 yylex_token: end at WS
1782877585.911225 yylex_token: #[align=centre]#{session_name}
1782877585.911230 yylex_token: end at WS
1782877585.911234 yylex_token: Next
1782877585.911239 yylex_token: end at WS
1782877585.911243 yylex_token: n
1782877585.911248 yylex_token: end at WS
1782877585.911252 yylex_token: switch-client
1782877585.911257 yylex_token: end at }
1782877585.911262 yylex_token: -n
1782877585.911267 yylex_token: end at WS
1782877585.911271 yylex_token: Previous
1782877585.911276 yylex_token: end at WS
1782877585.911280 yylex_token: p
1782877585.911285 yylex_token: end at WS
1782877585.911289 yylex_token: switch-client
1782877585.911294 yylex_token: end at }
1782877585.911298 yylex_token: -p
1782877585.911303 yylex_token: end at WS
1782877585.911307 yylex_token: 
1782877585.911312 yylex_token: end at WS
1782877585.911316 yylex_token: Renumber
1782877585.911321 yylex_token: end at WS
1782877585.911325 yylex_token: N
1782877585.911330 yylex_token: end at WS
1782877585.911335 yylex_token: move-window
1782877585.911339 yylex_token: end at }
1782877585.911343 yylex_token: -r
1782877585.911348 yylex_token: end at WS
1782877585.911352 yylex_token: Rename
1782877585.911357 yylex_token: end at WS
1782877585.911361 yylex_token: r
1782877585.911366 yylex_token: end at WS
1782877585.911371 yylex_token: command-prompt
1782877585.911375 yylex_token: end at WS
1782877585.911379 yylex_token: -I
1782877585.911384 yylex_token: end at WS
1782877585.911389 yylex_token: #S
1782877585.911394 yylex_token: end at WS
1782877585.911398 yylex_token: rename-session
1782877585.911403 yylex_token: end at WS
1782877585.911407 yylex_token: --
1782877585.911412 yylex_token: end at }
1782877585.911416 yylex_token: %%
1782877585.911421 yylex_token: end at WS
1782877585.911425 yylex_token: Detach
1782877585.911430 yylex_token: end at WS
1782877585.911434 yylex_token: d
1782877585.911439 yylex_token: end at }
1782877585.911444 yylex_token: detach-client
1782877585.911448 yylex_token: end at WS
1782877585.911453 yylex_token: 
1782877585.911458 yylex_token: end at WS
1782877585.911462 yylex_token: New Session
1782877585.911467 yylex_token: end at WS
1782877585.911471 yylex_token: s
1782877585.911476 yylex_token: end at }
1782877585.911480 yylex_token: new-session
1782877585.911485 yylex_token: end at WS
1782877585.911489 yylex_token: New Window
1782877585.911494 yylex_token: end at WS
1782877585.911498 yylex_token: w
1782877585.911503 yylex_token: end at }
1782877585.911507 yylex_token: new-window
1782877585.911513 cmd_parse_build_commands 0:0: bind
1782877585.911520 cmd_parse_build_commands 0:1: -n
1782877585.911525 cmd_parse_build_commands 0:2: M-MouseDown3StatusLeft
1782877585.911530 cmd_parse_build_commands 0:3 0:0: display-menu
1782877585.911535 cmd_parse_build_commands 0:3 0:1: -t=
1782877585.911540 cmd_parse_build_commands 0:3 0:2: -xM
1782877585.911545 cmd_parse_build_commands 0:3 0:3: -yW
1782877585.911549 cmd_parse_build_commands 0:3 0:4: -T
1782877585.911554 cmd_parse_build_commands 0:3 0:5: #[align=centre]#{session_name}
1782877585.911558 cmd_parse_build_commands 0:3 0:6: Next
1782877585.911563 cmd_parse_build_commands 0:3 0:7: n
1782877585.911568 cmd_parse_build_commands 0:3 0:8 0:0: switch-client
1782877585.911573 cmd_parse_build_commands 0:3 0:8 0:1: -n
1782877585.911577 cmd_parse_build_commands 0:3 0:9: Previous
1782877585.911582 cmd_parse_build_commands 0:3 0:10: p
1782877585.911587 cmd_parse_build_commands 0:3 0:11 0:0: switch-client
1782877585.911591 cmd_parse_build_commands 0:3 0:11 0:1: -p
1782877585.911596 cmd_parse_build_commands 0:3 0:12: 
1782877585.911601 cmd_parse_build_commands 0:3 0:13: Renumber
1782877585.911605 cmd_parse_build_commands 0:3 0:14: N
1782877585.911610 cmd_parse_build_commands 0:3 0:15 0:0: move-window
1782877585.911614 cmd_parse_build_commands 0:3 0:15 0:1: -r
1782877585.911619 cmd_parse_build_commands 0:3 0:16: Rename
1782877585.911624 cmd_parse_build_commands 0:3 0:17: r
1782877585.911632 cmd_parse_build_commands 0:3 0:18 0:0: command-prompt
1782877585.911639 cmd_parse_build_commands 0:3 0:18 0:1: -I
1782877585.911644 cmd_parse_build_commands 0:3 0:18 0:2: #S
1782877585.911649 cmd_parse_build_commands 0:3 0:18 0:3 0:0: rename-session
1782877585.911653 cmd_parse_build_commands 0:3 0:18 0:3 0:1: --
1782877585.911658 cmd_parse_build_commands 0:3 0:18 0:3 0:2: %%
1782877585.911663 cmd_parse_build_commands 0:3 0:19: Detach
1782877585.911667 cmd_parse_build_commands 0:3 0:20: d
1782877585.911672 cmd_parse_build_commands 0:3 0:21 0:0: detach-client
1782877585.911677 cmd_parse_build_commands 0:3 0:22: 
1782877585.911681 cmd_parse_build_commands 0:3 0:23: New Session
1782877585.911686 cmd_parse_build_commands 0:3 0:24: s
1782877585.911691 cmd_parse_build_commands 0:3 0:25 0:0: new-session
1782877585.911695 cmd_parse_build_commands 0:3 0:26: New Window
1782877585.911700 cmd_parse_build_commands 0:3 0:27: w
1782877585.911705 cmd_parse_build_commands 0:3 0:28 0:0: new-window
1782877585.911711 cmd_parse_build_commands 0:0: display-menu
1782877585.911718 cmd_parse_build_commands 0:1: -t=
1782877585.911722 cmd_parse_build_commands 0:2: -xM
1782877585.911727 cmd_parse_build_commands 0:3: -yW
1782877585.911731 cmd_parse_build_commands 0:4: -T
1782877585.911736 cmd_parse_build_commands 0:5: #[align=centre]#{session_name}
1782877585.911740 cmd_parse_build_commands 0:6: Next
1782877585.911745 cmd_parse_build_commands 0:7: n
1782877585.911750 cmd_parse_build_commands 0:8 0:0: switch-client
1782877585.911754 cmd_parse_build_commands 0:8 0:1: -n
1782877585.911759 cmd_parse_build_commands 0:9: Previous
1782877585.911763 cmd_parse_build_commands 0:10: p
1782877585.911768 cmd_parse_build_commands 0:11 0:0: switch-client
1782877585.911773 cmd_parse_build_commands 0:11 0:1: -p
1782877585.911777 cmd_parse_build_commands 0:12: 
1782877585.911782 cmd_parse_build_commands 0:13: Renumber
1782877585.911787 cmd_parse_build_commands 0:14: N
1782877585.911791 cmd_parse_build_commands 0:15 0:0: move-window
1782877585.911796 cmd_parse_build_commands 0:15 0:1: -r
1782877585.911800 cmd_parse_build_commands 0:16: Rename
1782877585.911805 cmd_parse_build_commands 0:17: r
1782877585.911809 cmd_parse_build_commands 0:18 0:0: command-prompt
1782877585.911814 cmd_parse_build_commands 0:18 0:1: -I
1782877585.911818 cmd_parse_build_commands 0:18 0:2: #S
1782877585.911823 cmd_parse_build_commands 0:18 0:3 0:0: rename-session
1782877585.911828 cmd_parse_build_commands 0:18 0:3 0:1: --
1782877585.911833 cmd_parse_build_commands 0:18 0:3 0:2: %%
1782877585.911837 cmd_parse_build_commands 0:19: Detach
1782877585.911842 cmd_parse_build_commands 0:20: d
1782877585.911847 cmd_parse_build_commands 0:21 0:0: detach-client
1782877585.911851 cmd_parse_build_commands 0:22: 
1782877585.911856 cmd_parse_build_commands 0:23: New Session
1782877585.911860 cmd_parse_build_commands 0:24: s
1782877585.911865 cmd_parse_build_commands 0:25 0:0: new-session
1782877585.911870 cmd_parse_build_commands 0:26: New Window
1782877585.911874 cmd_parse_build_commands 0:27: w
1782877585.911879 cmd_parse_build_commands 0:28 0:0: new-window
1782877585.911885 cmd_parse_build_commands 0:0: switch-client
1782877585.911889 cmd_parse_build_commands 0:1: -n
1782877585.911896 args_parse_flags: next -n
1782877585.911903 args_parse_flags: -n
1782877585.911908 args_parse: flags end at 2 of 2
1782877585.911913 cmd_parse_build_commands: switch-client -n
1782877585.911918 cmd_parse_build_commands 0:0: switch-client
1782877585.911922 cmd_parse_build_commands 0:1: -p
1782877585.911928 args_parse_flags: next -p
1782877585.911935 args_parse_flags: -p
1782877585.911940 args_parse: flags end at 2 of 2
1782877585.911945 cmd_parse_build_commands: switch-client -p
1782877585.911950 cmd_parse_build_commands 0:0: move-window
1782877585.911954 cmd_parse_build_commands 0:1: -r
1782877585.911960 args_parse_flags: next -r
1782877585.911973 args_parse_flags: -r
1782877585.911983 args_parse: flags end at 2 of 2
1782877585.911989 cmd_parse_build_commands: move-window -r
1782877585.911994 cmd_parse_build_commands 0:0: command-prompt
1782877585.912002 cmd_parse_build_commands 0:1: -I
1782877585.912010 cmd_parse_build_commands 0:2: #S
1782877585.912015 cmd_parse_build_commands 0:3 0:0: rename-session
1782877585.912020 cmd_parse_build_commands 0:3 0:1: --
1782877585.912024 cmd_parse_build_commands 0:3 0:2: %%
1782877585.912030 cmd_parse_build_commands 0:0: rename-session
1782877585.912035 cmd_parse_build_commands 0:1: --
1782877585.912039 cmd_parse_build_commands 0:2: %%
1782877585.912045 args_parse_flags: next --
1782877585.912051 args_parse: flags end at 2 of 3
1782877585.912056 args_parse: 2 = %% (type STRING)
1782877585.912062 cmd_parse_build_commands: rename-session "%%"
1782877585.912066 args_parse_flags: next -I
1782877585.912071 args_parse_flag_argument: -I = #S
1782877585.912076 args_parse: flags end at 3 of 4
1782877585.912081 args_parse: 3 = rename-session "%%" (type COMMANDS)
1782877585.912088 cmd_parse_build_commands: command-prompt -I "#S" { rename-session "%%" }
1782877585.912094 cmd_parse_build_commands 0:0: detach-client
1782877585.912099 args_parse: flags end at 1 of 1
1782877585.912104 cmd_parse_build_commands: detach-client
1782877585.912110 cmd_parse_build_commands 0:0: new-session
1782877585.912116 args_parse: flags end at 1 of 1
1782877585.912121 cmd_parse_build_commands: new-session
1782877585.912130 cmd_parse_build_commands 0:0: new-window
1782877585.912137 args_parse: flags end at 1 of 1
1782877585.912142 cmd_parse_build_commands: new-window
1782877585.912147 args_parse_flags: next -t=
1782877585.912152 args_parse_flag_argument: -t = =
1782877585.912156 args_parse_flags: next -xM
1782877585.912161 args_parse_flag_argument: -x = M
1782877585.912165 args_parse_flags: next -yW
1782877585.912170 args_parse_flag_argument: -y = W
1782877585.912175 args_parse_flags: next -T
1782877585.912179 args_parse_flag_argument: -T = #[align=centre]#{session_name}
1782877585.912184 args_parse_flags: next Next
1782877585.912189 args_parse: flags end at 6 of 29
1782877585.912193 args_parse: 6 = Next (type STRING)
1782877585.912198 args_parse: 7 = n (type STRING)
1782877585.912204 args_parse: 8 = switch-client -n (type COMMANDS)
1782877585.912209 args_parse: 9 = Previous (type STRING)
1782877585.912214 args_parse: 10 = p (type STRING)
1782877585.912219 args_parse: 11 = switch-client -p (type COMMANDS)
1782877585.912224 args_parse: 12 =  (type STRING)
1782877585.912229 args_parse: 13 = Renumber (type STRING)
1782877585.912233 args_parse: 14 = N (type STRING)
1782877585.912239 args_parse: 15 = move-window -r (type COMMANDS)
1782877585.912244 args_parse: 16 = Rename (type STRING)
1782877585.912248 args_parse: 17 = r (type STRING)
1782877585.912256 args_parse: 18 = command-prompt -I "#S" { rename-session "%%" } (type COMMANDS)
1782877585.912262 args_parse: 19 = Detach (type STRING)
1782877585.912267 args_parse: 20 = d (type STRING)
1782877585.912272 args_parse: 21 = detach-client (type COMMANDS)
1782877585.912277 args_parse: 22 =  (type STRING)
1782877585.912282 args_parse: 23 = New Session (type STRING)
1782877585.912287 args_parse: 24 = s (type STRING)
1782877585.912292 args_parse: 25 = new-session (type COMMANDS)
1782877585.912297 args_parse: 26 = New Window (type STRING)
1782877585.912302 args_parse: 27 = w (type STRING)
1782877585.912307 args_parse: 28 = new-window (type COMMANDS)
1782877585.912330 cmd_parse_build_commands: display-menu -T "#[align=centre]#{session_name}" -t = -x M -y W Next n { switch-client -n } Previous p { switch-client -p } '' Renumber N { move-window -r } Rename r { command-prompt -I "#S" { rename-session "%%" } } Detach d { detach-client } '' "New Session" s { new-session } "New Window" w { new-window }
1782877585.912336 args_parse_flags: next -n
1782877585.912341 args_parse_flags: -n
1782877585.912345 args_parse_flags: next M-MouseDown3StatusLeft
1782877585.912350 args_parse: flags end at 2 of 4
1782877585.912355 args_parse: 2 = M-MouseDown3StatusLeft (type STRING)
1782877585.912375 args_parse: 3 = display-menu -T "#[align=centre]#{session_name}" -t = -x M -y W Next n { switch-client -n } Previous p { switch-client -p } '' Renumber N { move-window -r } Rename r { command-prompt -I "#S" { rename-session "%%" } } Detach d { detach-client } '' "New Session" s { new-session } "New Window" w { new-window } (type COMMANDS)
1782877585.912405 cmd_parse_build_commands: bind-key -n M-MouseDown3StatusLeft { display-menu -T "#[align=centre]#{session_name}" -t = -x M -y W Next n { switch-client -n } Previous p { switch-client -p } '' Renumber N { move-window -r } Rename r { command-prompt -I "#S" { rename-session "%%" } } Detach d { detach-client } '' "New Session" s { new-session } "New Window" w { new-window } }
1782877585.912419 cmdq_get_command: [bind-key/0x55c04b369c60] group 1067
1782877585.912424 cmdq_append <global>: [bind-key/0x55c04b369c60]
1782877585.912429 yylex_token: end at WS
1782877585.912434 yylex_token: bind
1782877585.912438 yylex_token: end at WS
1782877585.912443 yylex_token: -n
1782877585.912448 yylex_token: end at WS
1782877585.912452 yylex_token: MouseDown3Status
1782877585.912457 yylex_token: end at WS
1782877585.912462 yylex_token: display-menu
1782877585.912466 yylex_token: end at WS
1782877585.912470 yylex_token: -t=
1782877585.912475 yylex_token: end at WS
1782877585.912479 yylex_token: -xW
1782877585.912484 yylex_token: end at WS
1782877585.912488 yylex_token: -yW
1782877585.912493 yylex_token: end at WS
1782877585.912497 yylex_token: -T
1782877585.912503 yylex_token: end at WS
1782877585.912508 yylex_token: #[align=centre]#{window_index}:#{window_name}
1782877585.912513 yylex_token: end at WS
1782877585.912518 yylex_token: #{?#{>:#{session_windows},1},,-}Swap Left
1782877585.912523 yylex_token: end at WS
1782877585.912527 yylex_token: l
1782877585.912532 yylex_token: end at WS
1782877585.912536 yylex_token: swap-window
1782877585.912541 yylex_token: end at }
1782877585.912545 yylex_token: -t:-1
1782877585.912551 yylex_token: end at WS
1782877585.912556 yylex_token: #{?#{>:#{session_windows},1},,-}Swap Right
1782877585.912561 yylex_token: end at WS
1782877585.912565 yylex_token: r
1782877585.912570 yylex_token: end at WS
1782877585.912574 yylex_token: swap-window
1782877585.912579 yylex_token: end at }
1782877585.912583 yylex_token: -t:+1
1782877585.912589 yylex_token: end at WS
1782877585.912597 yylex_token: #{?pane_marked_set,,-}Swap Marked
1782877585.912601 yylex_token: end at WS
1782877585.912606 yylex_token: s
1782877585.912611 yylex_token: end at }
1782877585.912615 yylex_token: swap-window
1782877585.912620 yylex_token: end at WS
1782877585.912624 yylex_token: 
1782877585.912629 yylex_token: end at WS
1782877585.912633 yylex_token: Kill
1782877585.912638 yylex_token: end at WS
1782877585.912642 yylex_token: X
1782877585.912647 yylex_token: end at }
1782877585.912652 yylex_token: kill-window
1782877585.912657 yylex_token: end at WS
1782877585.912661 yylex_token: Respawn
1782877585.912666 yylex_token: end at WS
1782877585.912670 yylex_token: R
1782877585.912675 yylex_token: end at WS
1782877585.912679 yylex_token: respawn-window
1782877585.912684 yylex_token: end at }
1782877585.912688 yylex_token: -k
1782877585.912694 yylex_token: end at WS
1782877585.912701 yylex_token: #{?pane_marked,Unmark,Mark}
1782877585.912705 yylex_token: end at WS
1782877585.912710 yylex_token: m
1782877585.912714 yylex_token: end at WS
1782877585.912719 yylex_token: select-pane
1782877585.912723 yylex_token: end at }
1782877585.912728 yylex_token: -m
1782877585.912733 yylex_token: end at WS
1782877585.912737 yylex_token: Rename
1782877585.912742 yylex_token: end at WS
1782877585.912746 yylex_token: n
1782877585.912751 yylex_token: end at WS
1782877585.912756 yylex_token: command-prompt
1782877585.912760 yylex_token: end at WS
1782877585.912764 yylex_token: -FI
1782877585.912769 yylex_token: end at WS
1782877585.912773 yylex_token: #W
1782877585.912778 yylex_token: end at WS
1782877585.912782 yylex_token: rename-window
1782877585.912787 yylex_token: end at WS
1782877585.912791 yylex_token: -t
1782877585.912796 yylex_token: end at WS
1782877585.912800 yylex_token: #{window_id}
1782877585.912805 yylex_token: end at WS
1782877585.912812 yylex_token: --
1782877585.912822 yylex_token: end at }
1782877585.912827 yylex_token: %%
1782877585.912832 yylex_token: end at WS
1782877585.912836 yylex_token: 
1782877585.912841 yylex_token: end at WS
1782877585.912845 yylex_token: New After
1782877585.912850 yylex_token: end at WS
1782877585.912854 yylex_token: w
1782877585.912859 yylex_token: end at WS
1782877585.912863 yylex_token: new-window
1782877585.912868 yylex_token: end at }
1782877585.912872 yylex_token: -a
1782877585.912877 yylex_token: end at WS
1782877585.912882 yylex_token: New At End
1782877585.912886 yylex_token: end at WS
1782877585.912890 yylex_token: W
1782877585.912895 yylex_token: end at }
1782877585.912899 yylex_token: new-window
1782877585.912905 cmd_parse_build_commands 0:0: bind
1782877585.912912 cmd_parse_build_commands 0:1: -n
1782877585.912917 cmd_parse_build_commands 0:2: MouseDown3Status
1782877585.912922 cmd_parse_build_commands 0:3 0:0: display-menu
1782877585.912926 cmd_parse_build_commands 0:3 0:1: -t=
1782877585.912931 cmd_parse_build_commands 0:3 0:2: -xW
1782877585.912935 cmd_parse_build_commands 0:3 0:3: -yW
1782877585.912940 cmd_parse_build_commands 0:3 0:4: -T
1782877585.912945 cmd_parse_build_commands 0:3 0:5: #[align=centre]#{window_index}:#{window_name}
